iter	Logloss
0	0.6651040277
1	0.6443203016
2	0.6217543664
3	0.608112634
4	0.5934673787
5	0.5765205054
6	0.5613706654
7	0.5473761458
8	0.5348796474
9	0.5239666872
10	0.5133422301
11	0.5028719799
12	0.4930411898
13	0.4855509087
14	0.4768190627
15	0.468734388
16	0.4608096613
17	0.4526627611
18	0.4453665156
19	0.438765816
20	0.4319349444
21	0.4260448279
22	0.4201644518
23	0.4134342937
24	0.4085525365
25	0.4031301568
26	0.3983549133
27	0.3936234711
28	0.3888948198
29	0.3837274346
30	0.3793556269
31	0.3757659105
32	0.3714451007
33	0.3664457042
34	0.3631972411
35	0.3594718178
36	0.355647489
37	0.3520447339
38	0.3478563342
39	0.3443242847
40	0.3404119236
41	0.3371727272
42	0.3335502965
43	0.3304828794
44	0.3276886096
45	0.3235688064
46	0.3201552277
47	0.3171560149
48	0.3150977854
49	0.3117054826
50	0.3084115767
51	0.3059769873
52	0.3024403265
53	0.3001487513
54	0.2977336925
55	0.294457468
56	0.2911235848
57	0.2887002651
58	0.28597043
59	0.28356548
60	0.2807221827
61	0.2786257217
62	0.2761501429
63	0.2736930984
64	0.2712123926
65	0.2691016348
66	0.2662072097
67	0.2639596495
68	0.2616221012
69	0.2593646047
70	0.2571801288
71	0.255202766
72	0.2526830654
73	0.2504891666
74	0.2489604336
75	0.2469928694
76	0.2448130924
77	0.2422185945
78	0.2405306346
79	0.2386201161
80	0.2364719171
81	0.2346491226
82	0.2325146145
83	0.2302529947
84	0.2279714086
85	0.2262921235
86	0.2245453375
87	0.2229559249
88	0.2209976917
89	0.2194270149
90	0.2180277302
91	0.2165599462
92	0.2147575762
93	0.2128335848
94	0.2112776906
95	0.2100917547
96	0.2084550531
97	0.2070983531
98	0.2053315321
99	0.2034762181
