iter	Passed	Remaining
0	13	1318
1	25	1225
2	36	1196
3	49	1188
4	62	1181
5	76	1199
6	90	1207
7	103	1186
8	114	1160
9	127	1145
10	141	1143
11	154	1134
12	168	1127
13	181	1112
14	193	1096
15	206	1085
16	218	1068
17	230	1052
18	242	1035
19	255	1020
20	268	1009
21	281	997
22	293	981
23	305	967
24	318	954
25	330	941
26	343	927
27	355	913
28	367	899
29	380	886
30	392	874
31	407	866
32	420	853
33	432	840
34	444	826
35	456	812
36	468	798
37	480	783
38	494	772
39	506	759
40	518	746
41	530	732
42	542	718
43	555	706
44	568	694
45	582	683
46	595	671
47	608	659
48	621	646
49	634	634
50	648	623
51	662	611
52	674	598
53	687	586
54	702	574
55	716	562
56	728	549
57	741	536
58	754	524
59	768	512
60	785	502
61	797	488
62	809	475
63	822	462
64	835	449
65	848	436
66	861	424
67	874	411
68	886	398
69	899	385
70	911	372
71	926	360
72	940	347
73	953	334
74	966	322
75	980	309
76	993	296
77	1009	284
78	1036	275
79	1051	262
80	1066	250
81	1080	237
82	1094	224
83	1107	210
84	1120	197
85	1134	184
86	1147	171
87	1161	158
88	1174	145
89	1186	131
90	1198	118
91	1211	105
92	1225	92
93	1237	79
94	1251	65
95	1263	52
96	1276	39
97	1288	26
98	1301	13
99	1313	0
